 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0.0,0.0,0.91,1.72,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.29,0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.9,1.78,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.29,0.0,0.0,0.11,0.0,0.0
0.0,0.0,0.85,1.83,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.81,1.74,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.33,0.0,0.0,0.11,0.0,0.0
0.0,0.0,0.81,1.62,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.32,0.0,0.0,0.16,0.06,0.0
0.0,0.0,0.87,1.53,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.28,0.0,0.0,0.18,0.06,0.0
0.0,0.0,0.91,1.58,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.06,0.0,0.18,0.06,0.0
0.0,0.0,0.92,1.64,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.27,0.06,0.0,0.16,0.06,0.0
0.0,0.0,0.88,1.71,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.29,0.06,0.0,0.18,0.07,0.0
0.0,0.0,0.91,1.62,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.27,0.01,0.0,0.19,0.07,0.0
0.0,0.0,0.9,1.62,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.29,0.01,0.0,0.17,0.01,0.0
0.0,0.0,0.96,1.63,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.29,0.03,0.0,0.16,0.01,0.0
0.0,0.0,0.9,1.71,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.29,0.03,0.0,0.15,0.01,0.0
0.0,0.0,0.87,1.72,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.28,0.06,0.0,0.17,0.02,0.0
0.0,0.0,0.84,1.68,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.31,0.03,0.0,0.15,0.02,0.0
0.0,0.0,0.85,1.67,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.3,0.05,0.0,0.13,0.02,0.0
0.0,0.0,0.86,1.69,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.35,0.04,0.0,0.1,0.0,0.0
0.0,0.0,0.85,1.74,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.34,0.07,0.0,0.16,0.07,0.0
0.0,0.0,0.92,1.82,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.34,0.05,0.0,0.16,0.07,0.0
0.0,0.0,0.91,1.85,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.28,0.03,0.0,0.16,0.07,0.0
0.0,0.0,0.92,1.83,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.32,0.0,0.0,0.13,0.07,0.0
0.0,0.0,0.88,1.81,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.33,0.0,0.0,0.14,0.07,0.0
0.0,0.0,0.86,1.76,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.33,0.02,0.0,0.15,0.07,0.0
0.0,0.0,0.83,1.7,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.32,0.02,0.0,0.15,0.05,0.0
0.0,0.0,0.77,1.63,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.3,0.06,0.0,0.14,0.05,0.0
0.0,0.0,0.7,1.64,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.32,0.07,0.0,0.16,0.07,0.0
0.0,0.0,0.66,1.74,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3,0.14,0.0,0.15,0.04,0.0
0.0,0.0,0.68,1.8,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.28,0.14,0.0,0.16,0.04,0.0
0.0,0.0,0.74,1.79,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.28,0.12,0.0,0.13,0.01,0.0
0.0,0.0,0.76,1.81,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.31,0.05,0.0,0.12,0.0,0.0
0.0,0.0,0.75,1.82,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.32,0.01,0.0,0.11,0.0,0.0
0.0,0.0,0.72,1.85,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.33,0.03,0.0,0.13,0.0,0.0
0.0,0.0,0.7,1.85,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3,0.03,0.0,0.14,0.0,0.0
0.0,0.0,0.7,1.83,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.26,0.11,0.0,0.17,0.02,0.0
0.0,0.0,0.67,1.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.18,0.0,0.18,0.12,0.0
0.0,0.0,0.64,1.68,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.15,0.26,0.0,0.19,0.22,0.0
0.0,0.0,0.58,1.6,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.17,0.23,0.0,0.18,0.28,0.0
0.0,0.0,0.54,1.58,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.14,0.16,0.0,0.16,0.24,0.0
0.0,0.0,0.51,1.6,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.13,0.12,0.0,0.15,0.28,0.0
0.0,0.0,0.5,1.65,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.11,0.13,0.0,0.15,0.36,0.0
0.0,0.0,0.48,1.64,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09,0.1,0.0,0.15,0.46,0.0
0.0,0.0,0.46,1.66,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.06,0.0,0.11,0.54,0.0
0.0,0.0,0.42,1.6,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.04,0.0,0.08,0.53,0.0
0.0,0.0,0.38,1.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.04,0.0,0.05,0.51,0.0
0.0,0.0,0.31,1.45,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.03,0.4,0.0
0.0,0.0,0.29,1.42,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.33,0.0
0.0,0.0,0.23,1.48,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.36,0.0
0.0,0.0,0.23,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.43,0.0
0.0,0.0,0.17,1.47,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.11,0.0,0.0,0.0,0.53,0.0
0.0,0.0,0.12,1.44,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.54,0.0
0.0,0.0,0.05,1.37,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.61,0.0
0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.68,0.0
0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.76,0.0
0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.75,0.0
0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.75,0.0
0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.07,0.81,0.0
0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.08,0.84,0.0
0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.15,0.86,0.0
0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.18,0.84,0.0
0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.23,0.87,0.0
0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.21,0.81,0.0
0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.23,0.77,0.0
0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.25,0.74,0.0
0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.32,0.83,0.0
0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.38,0.88,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.43,0.9,0.0
0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.45,0.84,0.0
0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.36,0.83,0.0
0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.27,0.81,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.2,0.8,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.17,0.69,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.19,0.62,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.12,0.52,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.1,0.54,0.83
0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.04,0.52,1.05
0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.04,0.54,1.02
0.02,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.01,0.49,0.67
0.08,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.04,0.48,0.31
0.16,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.04,0.46,0.04
0.24,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.03,0.46,0.0
0.33,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.01,0.38,0.0
0.42,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.01,0.36,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.37,0.01,0.0,0.0,0.33,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.01,1.37,0.03,0.0,0.0,0.31,0.0
0.63,0.05,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.01,1.29,0.03,0.0,0.0,0.31,0.0
0.63,0.05,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.01,1.3,0.02,0.0,0.0,0.25,0.0
0.62,0.05,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.29,0.03,0.0,0.0,0.27,0.0
0.62,0.05,0.0,0.01,0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.34,0.03,0.0,0.0,0.21,0.0
0.64,0.13,0.0,0.01,0.0,0.0,0.78,0.0,0.0,0.0,0.0,1.44,0.03,0.0,0.0,0.14,0.0
0.7,0.2,0.0,0.04,0.0,0.0,0.83,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.09,0.0
0.72,0.3,0.0,0.02,0.0,0.0,0.88,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.08,0.0
0.77,0.38,0.0,0.05,0.0,0.0,0.92,0.0,0.0,0.0,0.01,1.64,0.06,0.0,0.0,0.16,0.0
0.85,0.43,0.0,0.02,0.0,0.0,0.91,0.0,0.0,0.0,0.01,1.63,0.06,0.0,0.0,0.22,0.0
0.92,0.47,0.0,0.08,0.0,0.0,0.9,0.0,0.0,0.0,0.01,1.61,0.07,0.0,0.0,0.3,0.0
0.92,0.41,0.0,0.06,0.0,0.0,0.91,0.0,0.0,0.0,0.0,1.61,0.01,0.0,0.0,0.32,0.0
0.91,0.48,0.0,0.09,0.0,0.0,0.88,0.0,0.0,0.0,0.0,1.51,0.01,0.0,0.0,0.29,0.0
0.86,0.47,0.0,0.04,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.29,0.0
0.86,0.46,0.0,0.09,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.51,0.01,0.0,0.0,0.26,0.0
0.88,0.51,0.0,0.11,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.6,0.01,0.01,0.0,0.32,0.0
0.88,0.49,0.0,0.15,0.0,0.0,0.95,0.0,0.0,0.0,0.01,1.64,0.02,0.03,0.0,0.31,0.0
0.9,0.62,0.0,0.19,0.0,0.0,0.97,0.0,0.0,0.0,0.01,1.7,0.01,0.04,0.0,0.38,0.0
0.86,0.56,0.0,0.23,0.0,0.0,0.96,0.0,0.0,0.0,0.01,1.69,0.01,0.03,0.0,0.36,0.0
0.84,0.59,0.0,0.25,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.66,0.0,0.01,0.0,0.35,0.02
0.81,0.56,0.0,0.17,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.29,0.02
0.81,0.58,0.0,0.11,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.59,0.0,0.01,0.0,0.22,0.02
0.82,0.58,0.0,0.15,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.58,0.0,0.01,0.0,0.23,0.0
0.83,0.47,0.0,0.18,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.61,0.0,0.01,0.0,0.22,0.0
0.83,0.44,0.0,0.16,0.0,0.0,0.94,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.23,0.0
0.83,0.45,0.0,0.12,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.18,0.0
0.8,0.55,0.0,0.09,0.0,0.0,0.94,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.18,0.0
0.76,0.55,0.0,0.14,0.0,0.0,0.97,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.11,0.0
0.71,0.48,0.0,0.13,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.12,0.0
0.7,0.44,0.0,0.22,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.64,0.02,0.02,0.0,0.2,0.0
0.64,0.38,0.0,0.2,0.0,0.0,0.93,0.0,0.0,0.0,0.0,1.73,0.02,0.05,0.0,0.28,0.0
0.69,0.39,0.0,0.27,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.73,0.02,0.05,0.0,0.25,0.0
0.69,0.3,0.0,0.22,0.0,0.0,0.94,0.0,0.0,0.0,0.0,1.72,0.0,0.04,0.0,0.23,0.0
0.73,0.26,0.0,0.26,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.24,0.0
0.67,0.16,0.0,0.2,0.0,0.0,0.84,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.22,0.0
0.64,0.23,0.0,0.14,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.64,0.0,0.01,0.0,0.23,0.0
0.65,0.32,0.0,0.09,0.0,0.0,0.83,0.0,0.0,0.0,0.0,1.65,0.0,0.02,0.0,0.24,0.0
0.64,0.31,0.0,0.07,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.64,0.0,0.03,0.0,0.33,0.0
0.62,0.27,0.0,0.08,0.0,0.0,0.79,0.0,0.0,0.0,0.0,1.63,0.0,0.03,0.0,0.34,0.0
0.56,0.19,0.0,0.12,0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.58,0.0,0.02,0.0,0.35,0.0
0.59,0.31,0.0,0.12,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.35,0.0
0.61,0.39,0.0,0.11,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.34,0.0
0.68,0.44,0.0,0.06,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.33,0.0
0.68,0.34,0.0,0.04,0.0,0.0,0.69,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.32,0.0
0.65,0.17,0.0,0.04,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.01,0.26,0.0
0.56,0.05,0.0,0.04,0.0,0.0,0.63,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.01,0.29,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.01,0.33,0.0
0.36,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.44,0.02,0.0,0.0,0.37,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,1.48,0.02,0.0,0.0,0.45,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,1.53,0.02,0.0,0.0,0.44,0.0
0.23,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.01,0.44,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.02,1.42,0.0,0.0,0.01,0.25,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.04,1.41,0.0,0.0,0.01,0.2,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.06,1.46,0.0,0.0,0.01,0.16,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.04,1.51,0.0,0.0,0.01,0.25,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.04,1.48,0.06,0.0,0.14,0.28,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.03,1.35,0.09,0.0,0.27,0.19,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.41,0.01,0.0,0.15,0.19,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.02,1.41,0.0,0.0,0.14,0.15,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.14,0.01,0.62,0.0,0.0,0.08,0.0,2.16
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.17,0.0,0.69,0.0,0.0,0.05,0.0,2.02
0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.14,0.04,0.67,0.0,0.0,0.01,0.0,2.15
0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.12,0.07,0.56,0.0,0.0,0.0,0.0,2.4
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.53,0.0,0.0,0.0,0.0,2.33
0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.18,0.0,0.57,0.0,0.0,0.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.23,0.0,0.63,0.0,0.0,0.0,0.0,2.33
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.24,0.0,0.63,0.0,0.0,0.0,0.0,2.36
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.25,0.0,0.63,0.0,0.0,0.0,0.0,2.39
0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.25,0.0,0.61,0.0,0.0,0.0,0.0,2.33
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.26,0.0,0.62,0.0,0.0,0.0,0.0,2.33
0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.25,0.0,0.62,0.0,0.0,0.0,0.0,2.35
0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.28,0.0,0.61,0.0,0.0,0.0,0.0,2.35
0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.29,0.0,0.54,0.0,0.0,0.0,0.0,2.35
0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.35,0.0,0.49,0.0,0.0,0.0,0.0,2.42
0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.36,0.0,0.43,0.0,0.0,0.0,0.0,2.56
0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.35,0.0,0.44,0.0,0.0,0.0,0.0,2.61
0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.32,0.04,0.44,0.0,0.0,0.05,0.0,2.62
0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.29,0.05,0.49,0.0,0.0,0.06,0.0,2.6
0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.24,0.05,0.52,0.0,0.0,0.07,0.0,2.59
0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.53,0.0,0.0,0.05,0.0,2.56
0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.13,0.0,0.49,0.0,0.0,0.04,0.0,2.48
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.14,0.0,0.48,0.0,0.0,0.03,0.0,2.52
0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.16,0.0,0.47,0.0,0.0,0.01,0.0,2.54
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.18,0.0,0.45,0.0,0.0,0.03,0.0,2.56
0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.19,0.0,0.4,0.0,0.0,0.1,0.0,2.48
0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.16,0.0,0.35,0.0,0.0,0.12,0.0,2.4
0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.13,0.0,0.38,0.0,0.0,0.12,0.0,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.11,0.0,0.36,0.0,0.0,0.12,0.0,2.54
0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.18,0.0,0.36,0.0,0.0,0.17,0.0,2.61
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.2,0.02,0.36,0.0,0.0,0.22,0.01,2.61
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.14,0.02,0.43,0.0,0.0,0.19,0.01,2.59
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.02,0.43,0.0,0.0,0.18,0.01,2.55
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.14,0.0,0.38,0.0,0.0,0.11,0.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.16,0.0,0.33,0.0,0.0,0.09,0.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.12,0.01,0.33,0.0,0.0,0.07,0.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.11,0.01,0.39,0.0,0.0,0.09,0.0,2.55
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.02,0.41,0.0,0.0,0.08,0.0,2.53
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.01,0.39,0.0,0.0,0.07,0.0,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.01,0.35,0.0,0.0,0.1,0.0,2.36
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.36,0.0,0.0,0.16,0.0,2.32
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.41,0.0,0.0,0.21,0.0,2.27
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.11,0.0,0.43,0.0,0.0,0.27,0.0,2.26
0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.0,0.37,0.0,0.0,0.27,0.0,2.24
0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15,0.0,0.33,0.0,0.0,0.25,0.0,2.32
0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11,0.02,0.3,0.0,0.0,0.26,0.02,2.33
0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.14,0.02,0.39,0.0,0.0,0.24,0.02,2.44
